xTrajPlanned;yTrajPlanned;thetaTrajPlanned;kappaTrajPlanned;vtransTrajPlanned;vrotTrajPlanned;indexTrajPlanned
11.8034715652;7.89550876617;0.00134676190409;0.0;0.0;0;0;0
11.8922048737;7.89562826889;0.00134676190409;0.0;0.132555528372;0;0;0
11.9809381821;7.8957477716;0.00134676190409;0.0;0.187461825992;0;0;0
12.0696714906;7.89586727431;0.00134676190409;0.0;0.229592909965;0;0;0
12.158404799;7.89598677702;0.00134676190409;0.0;0.265111056745;0;0;0
12.2471381075;7.89610627973;0.00134676190409;0.0;0.296403172234;0;0;0
12.3358714159;7.89622578244;0.00134676190409;0.0;0.324693407098;0;0;0
12.4246047244;7.89634528516;0.00134676190409;0.0;0.35070896298;0;0;0
12.5133380328;7.89646478787;0.00134676190409;0.0;0.374923651984;0;0;0
12.6020713412;7.89658429058;0.00134676190409;0.0;0.397666585117;0;0;0
12.6908046497;7.89670379329;0.00134676190409;0.0;0.4;0;0;0
12.7795379581;7.896823296;0.00134676190409;0.0;0.4;0;0;0
12.8682712666;7.89694279871;0.00134676190409;0.0;0.4;0;0;0
12.957004575;7.89706230143;0.00134676190409;0.0;0.4;0;0;0
13.0457378835;7.89718180414;0.00134676190409;0.0;0.4;0;0;0
13.1344711919;7.89730130685;0.00134676190409;0.0;0.4;0;0;0
13.2232045004;7.89742080956;0.00134676190409;0.0;0.4;0;0;0
13.3119378088;7.89754031227;0.00134676190409;0.0;0.4;0;0;0
13.4006711173;7.89765981498;0.00134676190409;0.0;0.4;0;0;0
13.4894044257;7.8977793177;0.00134676190409;0.0;0.4;0;0;0
13.5781377341;7.89789882041;0.00134676190409;0.0;0.4;0;0;0
13.6668710426;7.89801832312;0.00134676190409;0.0;0.4;0;0;0
13.755604351;7.89813782583;0.00134676190409;0.0;0.4;0;0;0
13.8443376595;7.89825732854;0.00134676190409;0.0;0.4;0;0;0
13.9330709679;7.89837683125;0.00134676190409;0.0;0.4;0;0;0
14.0218042764;7.89849633397;0.00134676190409;0.0;0.4;0;0;0
